Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
9984,0,47.123999999999995,-28.1899,-11.4582,13.2522
10112,1,29.9219,30.8203,-14.5725,8.55963
9920,0,34.4736,-39.1191,4.63221,8.5898
9760,0,43.677,-7.57401,10.2186,15.8219
9824,0,36.1316,-2.92958,37.3872,6.4363
9952,0,21.1772,7.771739999999999,21.6651,12.7561
9872,1,34.885,2.21109,-39.7402,9.372110000000001
9808,1,42.5012,-10.3553,41.1236,2.45624
9936,0,30.6601,-34.5517,16.6001,7.84563
10032,0,27.1975,-22.6154,24.7737,9.697389999999999
9712,0,33.1455,-10.7955,16.0082,14.8493
10024,1,39.0048,-23.6937,-32.9972,8.78561
10088,0,34.596,-13.6102,-22.9423,14.0392
10008,0,42.0824,-27.0636,13.5972,11.9307
9816,0,29.6548,-0.8239209999999999,0.6649729999999999,16.974
9784,0,25.2627,22.6452,-15.6865,12.857000000000001
10040,0,32.2208,-20.4958,-24.09,12.7611
9912,0,43.5964,5.27775,-3.3345,16.6933
9732,0,39.0177,-20.9896,-2.54389,15.2554
9988,1,33.1028,31.8166,4.22032,8.58034
9764,0,34.2222,-7.589739999999999,21.2555,13.8139
10084,0,43.415,16.4026,-7.46137,15.1157
9956,0,27.199,7.52102,29.0738,9.80537
9700,0,31.2483,-36.6534,-0.722784,10.4258
9876,0,23.5985,5.24125,-31.816999999999997,12.4677
9908,0,40.5892,-42.9392,0.469837,6.931030000000001
10100,0,47.4065,-14.5725,33.4763,7.31292
9972,0,47.2315,-31.5241,2.9073700000000002,12.1174
9740,0,52.9734,-18.1076,-15.8071,14.5847
10060,1,47.1549,-20.1652,38.6241,1.14236
9932,1,20.6551,9.72449,-36.0404,10.725
10028,0,35.6636,-24.9324,2.4290599999999998,14.2447
9900,0,29.811,-7.767919999999999,-27.6669,13.2056
10092,0,37.1894,-12.6312,4.0126,16.1291
10012,1,35.0806,-26.6788,32.5272,3.2995699999999997
9820,0,39.4191,-0.571721,21.7881,13.6752
9788,0,43.6588,22.7382,-8.10237,13.2383
9660,0,21.7855,0.8649399999999999,-24.0322,14.6059
9730,0,28.0673,-20.9177,-28.9157,10.9814
9986,0,35.1018,-27.7807,-1.86094,13.7275
10114,1,23.9294,21.6552,29.5273,5.12129
9794,0,38.595,-12.228,29.0928,10.4581
9922,1,34.3649,-39.7339,14.6726,5.8586599999999995
9762,0,26.9814,-10.4816,-5.207409999999999,16.1293
10002,0,39.64,-24.8045,-19.002,13.0177
9874,1,37.0236,-46.3497,-11.9539,3.9149599999999998
9810,0,45.5975,-0.409624,-13.2264,16.1403
9938,0,35.8941,8.90446,-21.6973,14.7102
9650,1,26.8386,20.7162,-23.5875,11.6418
10098,0,49.8953,17.407,28.4695,6.906110000000001
9642,0,52.1327,-5.3374,26.3302,12.1903
10090,0,26.6203,17.4441,9.5414,13.6583
9754,0,23.4171,-11.252,-15.5788,15.4239
10010,0,38.4995,13.7538,-25.3175,13.1308
9818,0,24.6821,-1.70272,12.5157,15.67
9786,0,37.6312,-5.04634,-24.1563,14.3743
10042,0,29.5201,-19.8945,17.39,13.2863
