plant,time point,cell,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p3 FM6 flower 1,0,13266,6.0,6.0,0.4,0.009089602061840422,0.0653073719389943,0.12451776680971693,0.006443805382772896,0.0875043833898806,0.08347346273851357,0.09389401183838654,0.06368537134967964,41.449603174603155,44.0,221.00620975604642,0.23157894736842108,4.4,2.336842105263158,0.7346074054288769
p3 FM6 flower 1,0,13307,5.0,5.0,0.5,0.008525792498735005,0.038372715932606015,0.11249491531434518,0.005505712976266307,0.08141161707851509,0.06620654786813271,0.06985389649922497,0.043530231303327185,40.75086580086579,43.0,215.02258267832087,0.2263157894736842,4.3,2.3210526315789473,0.7638471892964344
p3 FM6 flower 1,0,13326,6.0,6.0,0.4,0.00902131660140294,0.035078611842533074,0.1148236391723474,0.006467146918991128,0.08584842997782201,0.07644052479112072,0.06297554868762266,0.03207198117279696,39.297619047619115,42.0,209.21664656845434,0.2456140350877193,4.421052631578948,2.2982456140350878,0.7959765987503051
p3 FM6 flower 1,0,13327,6.0,6.0,0.4,0.008982270598364601,0.053152537527520805,0.10591473023294584,0.006503520775174503,0.08612885042939297,0.07890220242066903,0.06897708598727824,0.05663419463973899,39.8416666666667,42.0,209.17227338057222,0.2456140350877193,4.421052631578948,2.304093567251462,0.7949814819885639
p3 FM6 flower 1,0,13331,6.0,6.0,0.4,0.009008426813253098,0.02939385978881743,0.12737142766890505,0.006481341615334581,0.08505436508815055,0.07305220126176087,0.058303709486109745,0.02935994953165236,40.080555555555556,38.0,190.07440287578038,0.27941176470588236,4.470588235294118,2.1691176470588234,0.939634704362741
p3 FM6 flower 1,0,13345,5.0,5.0,0.5,0.008668370335395373,0.028932813523100252,0.12353434301020635,0.005480084657449585,0.08123023347719474,0.06362292847343741,0.056490129385502505,0.032371629240569105,40.67142857142855,43.0,216.8929545347466,0.2263157894736842,4.3,2.3210526315789473,0.66114309763023
p3 FM6 flower 1,0,13355,7.0,7.0,0.3333333333333333,0.00930028256884721,0.08447199441460262,0.1177337812347253,0.007456089239857911,0.09373180520928336,0.09541680323727009,0.08782103628526845,0.08925679482676509,40.576190476190504,48.0,247.689821833913,0.22857142857142856,4.571428571428571,2.376190476190476,0.7527202003793263
p3 FM6 flower 1,0,13371,6.0,6.0,0.4,0.008861497158313178,0.03728627512903965,0.1138120469688594,0.0064721029213581655,0.08665401919641913,0.072811630521937,0.05776315661795022,0.03646924009341093,38.801587301587396,45.0,230.43728336698354,0.23684210526315788,4.5,2.331578947368421,0.7247331038038066
p3 FM6 flower 1,0,13372,6.0,6.0,0.4,0.008747307645668247,0.029714830157104757,0.10370506581590622,0.006525689376830083,0.08592460625871749,0.0689453171155338,0.052046748581285336,0.03135519167053855,38.3159090909092,42.0,214.00725077450298,0.2456140350877193,4.421052631578948,2.263157894736842,0.7895847032078734
p3 FM6 flower 1,0,13419,5.0,5.0,0.5,0.008371910400611157,0.024834818952365452,0.10949819507886191,0.005558067829490382,0.08056884466050915,0.058580933056753895,0.053836820796911905,0.02528663355998169,39.163095238095316,41.0,207.40193847345563,0.23976608187134504,4.315789473684211,2.2514619883040936,0.7014834053645745
p3 FM6 flower 1,0,13470,5.0,5.0,0.5,0.008213268616084993,0.008559367074379695,0.09741892075703373,0.005583353079446722,0.07783659340648462,0.05090614571114748,0.031849520636654645,0.008001079881711354,37.09448051948059,35.0,172.15091589098017,0.2916666666666667,4.375,2.1083333333333334,0.9729099134769367
