,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.1481,50.029500000000006,4.2336,0.6015820000000001,0.0696,50.002199999999995,2.1881,0.5052610000000001
split 1,0.27,50.055299999999995,11.9405,0.5949300000000001,0.5587,50.0124,5.0112000000000005,0.5028819999999997
split 2,0.2441,50.0475,6.429100000000001,0.6017579999999998,0.0,50.0,0.0,0.4989649999999998
split 3,0.281,50.054399999999994,7.1525,0.5994049999999999,0.0861,49.989300000000014,2.39,0.5095170000000002
split 4,0.20380000000000004,50.036899999999996,5.285899999999999,0.5961840000000002,0.0,50.0,0.0,0.494589
split 5,0.2022,50.03979999999999,6.6624,0.595314,0.24059999999999998,50.0192,3.8981,0.49768299999999976
mean,0.22499999999999998,50.044,6.9506,0.598191,0.1592,50.0039,2.2479,0.501481
std,0.19899999999999998,0.03989999999999999,6.5569,0.009578999999999999,0.22469999999999998,0.0768,2.655,0.03648600000000001
test mean,0.7673906537808524,0.15193172741701572,22.22470595330837,0.015578567763148846,0.9534786831301858,0.21664647210963534,12.22176337598513,0.04082635506230589
test std,0.3114932134800124,0.08675664422191903,2.1954927443548438,0.0724682303300343,0.1852530471419798,0.06631255500113765,1.19449928125952,0.0712258646927825
std testing,1.2551421124432176,0.34967274965094663,8.860692543974707,0.01211110776247494,1.0099618859315875,0.30669398613402704,5.956291652092614,0.01870585198510541
